Year,Quarter,State,District,Registered Users,App Opens,Average Opens
2020,Q3,Arunachal Pradesh,Namsai,8553,165140,19.30784520051444
2020,Q4,Arunachal Pradesh,Lower Subansiri,7388,124398,16.837845154304276
2020,Q4,Arunachal Pradesh,Tirap,6805,134124,19.709625275532698
2020,Q4,Arunachal Pradesh,Papum Pare,77936,1397025,17.92528484910696
2020,Q4,Arunachal Pradesh,Anjaw,2485,61121,24.595975855130785
2020,Q4,Arunachal Pradesh,Lower Siang,3320,54476,16.40843373493976
2020,Q4,Arunachal Pradesh,Dibang Valley,444,7677,17.29054054054054
2020,Q4,Arunachal Pradesh,West Kameng,19464,455337,23.393803945745994
2020,Q4,Arunachal Pradesh,Shi Yomi,370,5847,15.802702702702703
2020,Q4,Arunachal Pradesh,East Kameng,3638,62876,17.283122594832324
2020,Q4,Arunachal Pradesh,Lohit,13126,285992,21.788206612829498
2020,Q4,Arunachal Pradesh,Lepa Rada,2735,57036,20.854113345521025
2020,Q4,Arunachal Pradesh,Lower Dibang Valley,7693,132469,17.219420252177304
2020,Q4,Arunachal Pradesh,Longding,3753,87881,23.416200373034904
2020,Q4,Arunachal Pradesh,West Siang,9911,180696,18.231863585914642
2020,Q4,Arunachal Pradesh,Kamle,745,14866,19.954362416107383
2020,Q4,Arunachal Pradesh,Upper Siang,3497,80140,22.91678581641407
2020,Q4,Arunachal Pradesh,Kurung Kumey,1173,21168,18.046035805626598
2020,Q4,Arunachal Pradesh,Siang,2635,48090,18.250474383301707
2020,Q4,Arunachal Pradesh,Kra Daadi,1141,27924,24.473269062226116
2020,Q4,Arunachal Pradesh,Changlang,18203,320708,17.618414547052684
2020,Q4,Arunachal Pradesh,Pakke Kessang,593,11458,19.322091062394605
2020,Q4,Arunachal Pradesh,East Siang,17822,349321,19.600549882168107
2020,Q4,Arunachal Pradesh,Upper Subansiri,6069,125505,20.679683638161148
2020,Q4,Arunachal Pradesh,Tawang,10909,249095,22.8338986158218
2020,Q4,Arunachal Pradesh,Namsai,9437,177437,18.80226766981032
2021,Q1,Arunachal Pradesh,Lower Subansiri,8044,136547,16.975012431626055
2021,Q1,Arunachal Pradesh,Tirap,7376,136247,18.471664859002168
2021,Q1,Arunachal Pradesh,Papum Pare,84715,1553363,18.336339491235318
2021,Q1,Arunachal Pradesh,Anjaw,2660,55283,20.78308270676692
2021,Q1,Arunachal Pradesh,Lower Siang,3594,61226,17.035614913745132
2021,Q1,Arunachal Pradesh,Dibang Valley,478,9538,19.95397489539749
2021,Q1,Arunachal Pradesh,West Kameng,21027,483047,22.972701764398156
